#          wave           flux           ferr
#                                         mJy
        2.14981       0.167494     0.00727428
        3.59998       0.114895     0.00498988
        4.49987      0.0787046     0.00341814
        5.79963      0.0663743     0.00288264
        7.89951         0.0414       0.001798
        15.9956      0.0767361     0.00333265
        23.9883       0.084918     0.00368799
            100       0.945279       0.119389
        159.956        3.65595       0.227034
        250.035        3.92013       0.357319
        349.945        3.78966       0.411936
        500.035              0        2.11728
        1158.78              0    6.65087e+09
        2050.00              0          0.068
         199986              0     0.00202245
