J_UP   J_LOW        E_UP       FREQ        WAVEL     T_EX      TAU     T_R_测试      POP        POP       FLUX        FLUX
#                   (K)        (GHz)       (um)      (K)                  (K)        UP        LOW      (K*km/s) (erg/cm2/s)
1         0          5.5    115.2712   2600.7576    6.971  1.238E+02  3.728E+00  5.037E-01  3.713E-01  1.389E+03  2.739E-05
2         1         16.6    230.5380   1300.4037    5.724  1.748E+02  1.677E+00  1.215E-01  5.037E-01  6.247E+02  9.857E-05
3         2         33.2    345.7960    866.9634    4.282  4.342E+01  3.133E-01  3.527E-03  1.215E-01  1.167E+02  6.216E-05
4         3         55.3    461.0408    650.2515    3.779  1.220E+00  4.013E-02  1.300E-05  3.527E-03  1.495E+01  1.887E-05
5         4         83.0    576.2679    520.2310    7.800  4.250E-03  3.480E-03  4.585E-07  1.300E-05  1.297E+00  3.195E-06
6         5        116.2    691.4731    433.5562   10.958  1.439E-04  2.427E-04  2.622E-08  4.585E-07  9.042E-02  3.850E-07
7         6        154.9    806.6518    371.6504   12.062  8.169E-06  1.331E-05  1.222E-09  2.622E-08  4.958E-03  3.351E-08
8         7        199.1    921.7997    325.2252   13.047  3.785E-07  5.836E-07  4.663E-11  1.222E-09  2.174E-04  2.193E-09
9         8        248.9   1036.9124    289.1203   13.776  1.439E-08  1.986E-08  1.406E-12  4.663E-11  7.399E-06  1.062E-10
10        9        304.2   1151.9855    260.2398   14.280  4.323E-10  5.083E-10  3.237E-14  1.406E-12  1.894E-07  3.729E-12
11        10       365.0   1267.0145    236.6133   14.864  9.905E-12  1.024E-11  5.929E-16  3.237E-14  3.817E-09  9.998E-14
12        11       431.3   1381.9951    216.9273   15.199  1.805E-13  1.544E-13  8.204E-18  5.929E-16  5.752E-11  1.955E-15
13        12       503.1   1496.9229    200.2725   15.558  2.483E-15  1.750E-15  8.773E-20  8.204E-18  6.522E-13  2.817E-17

